image_name,label,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
0-659.jpeg,0,0.6305224,0.29242042,0.0,0.0,0.62838495,0.28252104,0.0,0.0,0.61445427,0.28452888,0.6059112,0.34106648,0.5871193,0.34477618,0.6129133,0.41028577,0.5891159,0.4232186,0.64089847,0.4142951,0.61151123,0.43751484,0.5889766,0.496748,0.57631737,0.50187844,0.592858,0.6219662,0.5751379,0.63911915,0.58200645,0.74554,0.56919193,0.77423435
0-209.jpeg,0,0.68168753,0.29766718,0.6848666,0.28427276,0.6736431,0.28523067,0.0,0.0,0.65579206,0.28732374,0.6941636,0.35811403,0.6331676,0.3547443,0.7178401,0.44452372,0.60681057,0.42929325,0.7477552,0.50859326,0.631159,0.44128612,0.6730099,0.51784676,0.6351776,0.5201721,0.6665457,0.6512587,0.6339739,0.6560169,0.6931723,0.7720912,0.6536643,0.7777512
0-120.jpeg,0,0.68147445,0.2897565,0.6848705,0.27876744,0.67524225,0.27688712,0.0,0.0,0.6565794,0.27717975,0.6712366,0.34852517,0.6425928,0.34489635,0.6707423,0.44087136,0.6571488,0.44279948,0.6957875,0.45969757,0.70508003,0.45515892,0.6661379,0.52167445,0.64423597,0.5213715,0.6635314,0.6563919,0.63626605,0.65571326,0.64544374,0.7728049,0.60374105,0.77024925
0-570.jpeg,0,0.5688841,0.3009213,0.57610244,0.28398678,0.5631483,0.2861703,0.5950025,0.2759651,0.56030923,0.2827524,0.6276161,0.35735288,0.55259645,0.3695271,0.67084086,0.43525136,0.5284505,0.44328412,0.6252699,0.47346988,0.5028099,0.4973748,0.6158136,0.54214424,0.5722758,0.54397166,0.6267241,0.6923065,0.5766334,0.6949758,0.6282854,0.82407284,0.5894321,0.8168922
0-823.jpeg,0,0.534133,0.34253633,0.53552735,0.32739395,0.531565,0.3329978,0.55275065,0.30700055,0.0,0.0,0.5951142,0.34962702,0.5571881,0.3708257,0.61002886,0.4208564,0.5575886,0.46353075,0.58364505,0.45970055,0.5285611,0.5192201,0.61966896,0.5251784,0.5930534,0.5290431,0.6262806,0.6674435,0.5855611,0.65432876,0.6349927,0.79815376,0.59875244,0.77733654
0-989.jpeg,0,0.57382715,0.2956783,0.58211017,0.27807188,0.57072276,0.27960077,0.60565007,0.2779725,0.0,0.0,0.63909495,0.37137172,0.5640891,0.36204427,0.65013176,0.4865867,0.5323933,0.44706142,0.59810257,0.5261048,0.54547226,0.46118528,0.6144802,0.5893659,0.5642497,0.57872903,0.60815716,0.7445447,0.54778785,0.72850883,0.6107485,0.88849103,0.53631985,0.8583778
0-966.jpeg,0,0.6216692,0.2963029,0.62957823,0.27935272,0.616437,0.2803095,0.6476715,0.2754536,0.6132551,0.2762989,0.6742324,0.3638852,0.5941462,0.36098373,0.69634897,0.46325776,0.56064534,0.44235748,0.64961517,0.5052605,0.5792364,0.45999876,0.659638,0.56001604,0.60790235,0.56116027,0.6714168,0.70548433,0.6186615,0.7094781,0.6905118,0.8368398,0.6369971,0.833707
0-94.jpeg,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57014984,0.2814741,0.5161231,0.34680772,0.57933193,0.3528947,0.48096353,0.4260344,0.6180569,0.42736208,0.51160705,0.44292656,0.65768605,0.45082244,0.5291494,0.52025735,0.57159996,0.5274632,0.52224237,0.65654343,0.5665537,0.66950965,0.5053083,0.7909438,0.5763882,0.80788696
0-435.jpeg,0,0.65547746,0.2858039,0.65909976,0.27439284,0.6488949,0.27329004,0.0,0.0,0.63084304,0.2753759,0.6686033,0.34743536,0.604317,0.34287506,0.6935685,0.4300862,0.58217245,0.41529652,0.6617708,0.45139283,0.61877424,0.39028135,0.65104526,0.5204856,0.61313874,0.5204508,0.6388238,0.65338594,0.62282485,0.64914584,0.63319,0.7663005,0.6419294,0.7568946
0-874.jpeg,0,0.63575935,0.29195657,0.0,0.0,0.63358486,0.280427,0.0,0.0,0.62205887,0.2827805,0.57604516,0.33339363,0.6175736,0.34867665,0.5703646,0.42255428,0.64255184,0.43993855,0.0,0.0,0.6399471,0.4613267,0.56175214,0.49826744,0.58673704,0.5070777,0.5763397,0.6482634,0.58005077,0.6711431,0.5673456,0.7916845,0.55394614,0.82799566
